player_id,year,date,week,team,location,opponent,result,started,rushing_attempts,rushing_yards,rushing_touchdowns,pass_targets,receptions,receiving_yards,receiving_touchdowns,conversions,fumbles_lost,fumble_touchdowns
PeteAd01,2013,2013-11-24,12,MIN,Away,GNB,T,True,32,146,1,1,1,2,0,0,1,0
PeteAd01,2013,2013-12-01,13,MIN,Home,CHI,W,True,35,211,0,4,2,0,0,0,0,0
PeteAd01,2013,2013-12-08,14,MIN,Away,BAL,L,True,7,13,0,2,1,4,0,0,0,0
PeteAd01,2013,2013-12-22,16,MIN,Away,CIN,L,True,11,45,0,1,1,2,0,0,0,0
PeteAd01,2014,2014-09-07,1,MIN,Away,STL,W,True,21,75,0,3,2,18,0,0,0,0
PeteAd01,2015,2015-09-14,1,MIN,Away,SFO,L,True,10,31,0,3,3,21,0,0,0,0
PeteAd01,2015,2015-09-20,2,MIN,Home,DET,W,True,29,134,0,2,2,58,0,0,1,0
PeteAd01,2015,2015-09-27,3,MIN,Home,SDG,W,True,20,126,2,0,0,0,0,0,0,0
PeteAd01,2015,2015-10-04,4,MIN,Away,DEN,L,True,16,81,1,6,4,13,0,0,0,0
PeteAd01,2015,2015-10-18,6,MIN,Home,KAN,W,True,26,60,0,1,1,-3,0,0,0,0
PeteAd01,2015,2015-10-25,7,MIN,Away,DET,W,True,19,98,0,3,3,12,0,0,0,0
PeteAd01,2015,2015-11-01,8,MIN,Away,CHI,W,True,20,103,0,2,2,6,0,0,0,0
PeteAd01,2015,2015-11-08,9,MIN,Home,STL,W,True,29,125,1,2,2,18,0,0,0,0
PeteAd01,2015,2015-11-15,10,MIN,Away,OAK,W,True,26,203,1,3,2,13,0,0,0,0
PeteAd01,2015,2015-11-22,11,MIN,Home,GNB,L,True,13,45,1,2,2,16,0,0,1,0
PeteAd01,2015,2015-11-29,12,MIN,Away,ATL,W,True,29,158,2,4,2,29,0,0,0,0
PeteAd01,2015,2015-12-06,13,MIN,Home,SEA,L,True,8,18,0,4,4,6,0,0,0,0
PeteAd01,2015,2015-12-10,14,MIN,Away,ARI,L,True,23,69,1,1,1,17,0,0,1,0
PeteAd01,2015,2015-12-20,15,MIN,Home,CHI,W,True,18,63,0,0,0,0,0,0,0,0
PeteAd01,2015,2015-12-27,16,MIN,Home,NYG,W,True,22,104,1,2,1,15,0,0,0,0
PeteAd01,2015,2016-01-03,17,MIN,Away,GNB,W,True,19,67,1,1,1,1,0,0,0,0
PeteAd01,2016,2016-09-11,1,MIN,Away,TEN,W,True,19,31,0,2,0,0,0,0,0,0
PeteAd01,2016,2016-09-18,2,MIN,Home,GNB,W,True,12,19,0,3,2,7,0,0,0,0
PeteAd01,2016,2016-12-18,15,MIN,Home,IND,L,True,6,22,0,1,1,1,0,0,1,0
PeteAd01,2017,2017-09-11,1,NOR,Away,MIN,L,True,6,18,0,1,0,0,0,0,0,0
PeteAd01,2017,2017-09-17,2,NOR,Home,NWE,L,False,8,26,0,0,0,0,0,0,0,0
PeteAd01,2017,2017-09-24,3,NOR,Away,CAR,W,False,9,33,0,2,2,4,0,0,0,0
PeteAd01,2017,2017-10-01,4,NOR,Away,MIA,W,False,4,4,0,0,0,0,0,0,0,0
PeteAd01,2017,2017-10-15,6,ARI,Home,TAM,W,True,26,134,2,0,0,0,0,0,0,0
PeteAd01,2017,2017-10-22,7,ARI,Away,LAR,L,True,11,21,0,4,1,12,0,0,0,0
PeteAd01,2017,2017-11-05,9,ARI,Away,SFO,W,True,37,159,0,4,2,8,0,0,1,0
PeteAd01,2017,2017-11-09,10,ARI,Home,SEA,L,True,21,29,0,2,1,13,0,0,1,0
PeteAd01,2017,2017-11-19,11,ARI,Away,HOU,L,True,14,26,0,1,1,13,0,0,0,0
PeteAd01,2017,2017-11-26,12,ARI,Home,JAX,W,True,20,79,0,5,4,20,0,0,0,0
PeteAd01,2018,2018-09-09,1,WAS,Away,ARI,W,True,26,96,1,3,2,70,0,0,1,0
PeteAd01,2018,2018-09-16,2,WAS,Home,IND,L,True,11,20,0,3,3,30,0,0,0,0
PeteAd01,2018,2018-09-23,3,WAS,Home,GNB,W,True,19,120,2,0,0,0,0,0,0,0
PeteAd01,2018,2018-10-08,5,WAS,Away,NOR,L,True,4,6,0,3,2,36,0,0,0,0
PeteAd01,2018,2018-10-14,6,WAS,Home,CAR,W,True,17,97,0,1,0,0,0,0,0,0
PeteAd01,2018,2018-10-21,7,WAS,Home,DAL,W,True,24,99,0,2,1,8,0,0,0,0
PeteAd01,2018,2018-10-28,8,WAS,Away,NYG,W,True,26,149,1,1,1,7,1,0,1,0
PeteAd01,2018,2018-11-04,9,WAS,Home,ATL,L,True,9,17,0,3,3,16,0,0,0,0
PeteAd01,2018,2018-11-11,10,WAS,Away,TAM,W,True,19,68,0,2,2,1,0,0,0,0
PeteAd01,2018,2018-11-18,11,WAS,Home,HOU,L,True,16,51,2,0,0,0,0,0,0,0
PeteAd01,2018,2018-11-22,12,WAS,Away,DAL,L,True,12,35,0,2,2,9,0,0,0,0
PeteAd01,2018,2018-12-03,13,WAS,Away,PHI,L,True,9,98,1,0,0,0,0,0,0,0
PeteAd01,2018,2018-12-09,14,WAS,Home,NYG,L,True,10,16,0,1,1,3,0,0,0,0
PeteAd01,2018,2018-12-16,15,WAS,Away,JAX,W,True,19,51,0,3,2,20,0,0,0,0
PeteAd01,2018,2018-12-22,16,WAS,Away,TEN,L,True,26,119,0,2,1,8,0,0,0,0
PeteAd01,2018,2018-12-30,17,WAS,Home,PHI,L,True,4,0,0,0,0,0,0,0,0,0
PeteAd01,2019,2019-09-15,2,WAS,Home,DAL,L,True,10,25,1,2,2,7,0,0,0,0
PeteAd01,2019,2019-09-23,3,WAS,Home,CHI,L,True,12,37,0,3,1,-3,0,0,0,0
PeteAd01,2019,2019-09-29,4,WAS,Away,NYG,L,True,11,28,0,0,0,0,0,0,0,0
PeteAd01,2019,2019-10-06,5,WAS,Home,NWE,L,True,7,18,0,0,0,0,0,0,0,0
PeteAd01,2019,2019-10-13,6,WAS,Away,MIA,W,True,23,118,0,2,2,18,0,0,0,0
PeteAd01,2019,2019-10-20,7,WAS,Home,SFO,L,True,20,81,0,0,0,0,0,0,1,0
